input_voltage_setpoint,VCC,PG,v_input_shunt,v_output_shunt,v_input_voltage,v_output_voltage,i_input_current,i_output_current,p_input_power,p_output_power,p_power_loss,efficiency,electronic_load_setpoint,electronic_load_current,electronic_load_voltage,switching_frequency,
16,0.000172713,4.63866E-05,0.007815366,0.024955387,15.9892022,0.999959995,0.390768311,5.015472579,6.24807353,5.015271935,1.232801595,80.26909271,5,5.0043,0.9040973,994248.0624, 
16,0.000181924,9.94571E-05,0.009202623,0.029941672,15.9872247,0.999819487,0.460131129,6.017604066,7.356219743,6.01651781,1.339701932,81.7881741,6,6.0043,0.8848003,994172.8672, 
16,0.000202268,5.32598E-05,0.010604228,0.034928781,15.9851917,0.99966073,0.53021142,7.019900958,8.47553119,7.017519316,1.458011874,82.79739829,7,7.0043,0.8654389,994006.1573, 
16,0.000140929,3.38275E-05,0.012023999,0.039914948,15.9830618,0.999543777,0.60119996,8.02200869,9.609016115,8.018348865,1.590667249,83.44609656,8,8.0041,0.8460888,994056.653, 
16,0.000153325,8.47434E-05,0.013460972,0.044901954,15.9809772,0.999407256,0.67304859,9.024284821,10.75597417,9.018935731,1.737038441,83.85047776,9,9.004,0.8267705,994082.3021, 
16,0.000223004,5.37449E-05,0.01491927,0.049892275,15.9788085,0.999291438,0.74596352,10.02722733,11.91960823,10.02012242,1.899485813,84.06419259,10,10.004,0.8074983,993915.8042, 
16,0.000209101,0.000102175,0.016395521,0.054878786,15.9766184,0.999163348,0.81977606,11.0294042,13.09724928,11.02017643,2.077072855,84.14115201,11,11.004,0.7882179,994040.1373, 
16,0.000190695,4.8105E-05,0.017903762,0.0598684,15.9743665,0.999028918,0.89518809,12.03220466,14.30006264,12.02052041,2.27954223,84.05921507,12,12.004,0.7688412,993557.9525, 
16,0.000210952,6.47382E-05,0.019418643,0.064857979,15.9722523,0.998917067,0.97093216,13.03499793,15.50797343,13.0208819,2.487091525,83.96249815,13,13.004,0.7495755,993300.2473, 
16,0.000196846,4.66687E-05,0.020954563,0.069846247,15.9699754,0.998783763,1.04772817,14.03752794,16.7321931,14.02045498,2.711738126,83.79328932,14,14.003,0.7302395,993166.8119, 
16,0.000184115,6.49331E-05,0.022510082,0.07483509,15.9677777,0.998632179,1.125504075,15.04017332,17.97179887,15.01960106,2.952197812,83.57316464,15,15.003,0.7106888,992593.7619, 
16,0.000189311,6.57743E-05,0.024090661,0.079826418,15.9653094,0.998481585,1.20453305,16.0433183,19.23074283,16.01895789,3.211784941,83.29869538,16,16.003,0.6914227,992370.6495, 
16,0.000174528,0.000100705,0.025694774,0.084815632,15.9629337,0.998333972,1.284738705,17.04603837,20.50819877,17.01763919,3.490559576,82.97968722,17,17.003,0.6723048,991997.5327, 
16,0.000174536,4.61273E-05,0.027325178,0.089806283,15.9605449,0.99817546,1.3662589,18.04904711,21.80623652,18.0161159,3.790120622,82.6190979,18,18.003,0.6528688,991790.1532, 
16,0.000192707,3.31273E-05,0.028985869,0.094795619,15.9580919,0.998025984,1.449293435,19.05179161,23.12795783,19.01418307,4.113774753,82.21297884,19,19.004,0.6331357,991682.5056, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,, 
